District,count
ADILABAD,0
AGAR,0
AGRA,0
AHMADABAD,0
AHMEDNAGAR,0
AIZAWL,0
AJMER,1
AKOLA,1
ALAPPUZHA,0
ALIGARH,0
ALIPURDUAR,0
ALIRAJPUR,0
ALLAHABAD,2
ALMORA,0
ALWAR,1
AMBALA,0
AMBEDKAR,0
AMETHI,1
AMRAVATI,0
AMRELI,0
AMRITSAR,0
AMROHA,0
ANAND,3
ANANTAPUR,0
ANANTNAG,0
ANDAMAN,0
ANJAW,0
ANUGUL,0
ANUPPUR,0
ARARIA,1
ARIYALUR,0
ARVALLI,0
ARWAL,0
ASHOKNAGAR,0
ASIFABAD,0
AURAIYA,0
AURANGABAD,0
AZAMGARH,0
BADGAM,0
BAGALKOT,0
BAGESHWAR,0
BAGHPAT,0
BAHRAICH,0
BAKSA,0
BALAGHAT,0
BALANGIR,0
BALESHWAR,0
BALLARI,0
BALLIA,0
BALOD,0
BALODA,0
BALRAMPUR,0
BANDA,0
BANDIPORA,0
BANKA,0
BANKURA,3
BANSWARA,0
BARABANKI,0
BARAMULLA,0
BARAN,0
BARDHAMAN,1
BAREILLY,2
BARGARH,4
BARMER,0
BARNALA,0
BARPETA,0
BARWANI,0
BASTAR,0
BASTI,1
BATHINDA,0
BEED,0
BEGUSARAI,0
BELAGAVI,0
BEMETARA,0
BENGALURU,3
BETUL,0
BHABUA,0
BHADOHI,0
BHADRADRI,0
BHADRAK,0
BHAGALPUR,0
BHANDARA,0
BHARATPUR,0
BHARUCH,0
BHAVNAGAR,0
BHILWARA,0
BHIND,0
BHIWANI,0
BHOI,0
BHOJPUR,0
BHOPAL,1
BIDAR,0
BIJAPUR,0
BIJNOR,0
BIKANER,1
BILASPUR,0
BIRBHUM,0
BISHNUPUR,0
BOKARO,0
BONGAIGAON,0
BOTAD,0
BOUDH,0
BUDAUN,0
BUDDHA,0
BULANDSHAHR,0
BULDHANA,0
BUNDI,0
BURHANPUR,0
BUXAR,0
CACHAR,0
CHAMARAJANAGAR,0
CHAMBA,0
CHAMOLI,0
CHAMPA,2
CHAMPARAN,1
CHAMPAWAT,0
CHAMPHAI,0
CHANDAULI,0
CHANDEL,0
CHANDIGARH,1
CHANDRAPUR,0
CHANGLANG,0
CHATRA,0
CHENNAI,13
CHHATARPUR,0
CHHINDWARA,0
CHHOTAUDEPUR,0
CHIKBALLAPUR,0
CHIKKAMAGALURU,0
CHIRANG,0
CHITRADURGA,0
CHITRAKOOT,0
CHITTOOR,0
CHITTORGARH,0
CHURACHANDPUR,0
CHURU,0
COIMBATORE,2
COOCHBEHAR,0
CUDDALORE,0
CUTTACK,0
DAADI,0
DADRA,0
DADRI,0
DAMAN,0
DAMOH,0
DANG,0
DANTEWADA,0
DARBHANGA,0
DARJEELING,0
DARRANG,0
DATIA,0
DAUSA,1
DAVANGERE,0
DEHRADUN,1
DELHI,41
DEOGARH,0
DEOGHAR,1
DEORIA,0
DEVBHUMI,0
DEWAS,0
DHALAI,0
DHAMTARI,0
DHANBAD,0
DHAR,0
DHARMAPURI,0
DHARWAD,2
DHEMAJI,0
DHENKANAL,0
DHOLPUR,0
DHUBRI,0
DHULE,0
DIBANG,0
DIBRUGARH,0
DIMAPUR,0
DINAJPUR,0
DINDIGUL,1
DINDORI,0
DIU,1
DODA,0
DOHAD,0
DUMKA,0
DUNGARPUR,0
DURG,1
ERNAKULAM,44
ERODE,0
ETAH,0
ETAWAH,0
FAIZABAD,4
FARIDABAD,1
FARIDKOT,0
FARRUKHABAD,0
FATEHABAD,0
FATEHGARH SAHIB,0
FATEHPUR,0
FAZILKA,0
FIROZABAD,0
FIROZEPUR,0
GADAG,0
GADCHIROLI,0
GAJAPATI,0
GANDERBAL,0
