Month,HINDUSTAN ZINC LTD.HQ,meanHQ,HERO MOTOCORP LTD.18ER,BHARTI AIRTEL LTD.18ER,MARUTI SUZUKI INDIA LTD.18ER,SHREE CEMENT LTD.18ER,BOSCH LTD.18ER,VEDANTA LIMITED18ER,BHARAT PETROLEUM CORPORATION LTD.18ER,BAJAJ AUTO LTD.18ER,AVENUE SUPERMARTS LTD18ER,ULTRATECH CEMENT LTD.18ER,BAJAJ FINSERV LTD.18ER,BAJAJ FINANCE LIMITED18ER,ICICI BANK LTD.18ER,HERO MOTOCORP LTD.17ER,NESTLE INDIA LTD.17ER,BHARTI AIRTEL LTD.17ER,SHREE CEMENT LTD.17ER,BOSCH LTD.17ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.17ER,VEDANTA LIMITED17ER,MAHINDRA & MAHINDRA LTD.17ER,AVENUE SUPERMARTS LTD17ER,ULTRATECH CEMENT LTD.17ER,ICICI BANK LTD.17ER,STATE BANK OF INDIA17ER,BHARTI INFRATEL LTD.16ER,HERO MOTOCORP LTD.16ER,DABUR INDIA LTD.16ER,BHARTI AIRTEL LTD.16ER,SHREE CEMENT LTD.16ER,BOSCH LTD.16ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16ER,VEDANTA LIMITED16ER,BAJAJ AUTO LTD.16ER,MAHINDRA & MAHINDRA LTD.16ER,ULTRATECH CEMENT LTD.16ER,BAJAJ FINANCE LIMITED16ER,ICICI BANK LTD.16ER,KOTAK MAHINDRA BANK LTD.16ER,STATE BANK OF INDIA16ER,BHARTI INFRATEL LTD.15ER,HERO MOTOCORP LTD.15ER,DABUR INDIA LTD.15ER,BHARTI AIRTEL LTD.15ER,SHREE CEMENT LTD.15ER,BOSCH LTD.15ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.15ER,VEDANTA LIMITED15ER,MAHINDRA & MAHINDRA LTD.15ER,ULTRATECH CEMENT LTD.15ER,BAJAJ FINSERV LTD.15ER,BAJAJ FINANCE LIMITED15ER,AXIS BANK LTD.15ER,ICICI BANK LTD.15ER,STATE BANK OF INDIA15ER,HDFC BANK LTD15ER,HERO MOTOCORP LTD.14ER,SHREE CEMENT LTD.14ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.14ER,VEDANTA LIMITED14ER,BAJAJ AUTO LTD.14ER,ULTRATECH CEMENT LTD.14ER,BAJAJ FINSERV LTD.14ER,BAJAJ FINANCE LIMITED14ER,ICICI BANK LTD.14ER,meanER
January-2015,2.61,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36,-7.54,9.68,5.64,16.41,22.42,6.92,-5.77,2.31,17.54,9.98,16.16,17.26,2.31,-0.59,13.03,,,,,,,,,,8.26
February-2015,0.77,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,-6.51,3.05,-4.17,-1.22,8.6,-2.94,7.86,2.26,-0.08,-2.44,7.88,4.2,-4.32,-2.71,-0.76,,,,,,,,,,0.71
March-2015,-8.12,-8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,-1.49,0.57,10.27,-0.51,-1.91,-6.79,-12.94,-8.08,-8.36,-1.25,-6.11,-8.64,-8.75,-11.47,-4.21,,,,,,,,,,-4.06
April-2015,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,-11.85,-5.09,-3.11,-5.18,-11.34,3.1,10.85,-3.54,-7.27,2.77,-2.12,1.33,5.06,1.14,-3.29,,,,,,,,,,-1.52
May-2015,-0.12,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.43,15.74,7.5,11.44,7.67,5.11,1.9,-6.33,10.05,11.65,6.66,5.22,3.06,-4.21,3.0,6.26,,,,,,,,,,6.51
June-2015,-1.24,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.82,-6.37,3.53,-1.27,3.02,-7.36,-4.87,-11.59,1.67,0.5,0.2,29.34,-4.55,-2.93,-5.52,1.56,,,,,,,,,,-0.72
July-2015,-5.99,-5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,5.95,4.62,-0.31,0.56,12.45,5.25,-25.16,6.28,5.29,20.95,0.73,2.7,-1.79,2.89,4.1,,,,,,,,,,2.8
August-2015,-19.14,-19.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8,-10.36,-6.7,-15.31,-5.14,-5.62,9.4,-24.24,-10.18,-7.99,-1.54,-8.6,-11.69,-8.07,-8.62,-7.47,,,,,,,,,,-8.31
September-2015,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.21,-0.07,0.95,-4.65,9.03,-16.58,-15.56,-13.69,3.09,-7.53,-4.75,1.47,-2.2,-2.82,-3.99,3.96,,,,,,,,,,-4.03
October-2015,12.39,12.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61,7.9,-2.21,3.18,4.68,5.46,-1.27,17.51,-6.2,7.61,13.01,2.29,-4.16,2.5,-0.02,2.63,,,,,,,,,,3.91
November-2015,-8.44,-8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.07,4.55,1.28,-4.09,-9.96,-8.71,-9.25,-9.95,15.62,-2.66,-0.98,5.61,-1.28,-1.05,5.59,-1.92,,,,,,,,,,-1.14
December-2015,2.02,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35,-0.27,1.08,1.61,3.36,-0.04,-2.83,0.28,-7.0,-0.78,2.57,9.19,-4.13,-4.62,-10.4,0.63,,,,,,,,,,-0.0
January-2016,9.58,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,-15.79,-4.91,-9.6,-14.77,-8.71,-6.57,-18.38,-20.6,-7.56,-3.06,1.47,-1.74,-11.99,-5.03,-19.81,,,,,,,,,,,,,,,,,,,,,,,,,,-9.8
February-2016,-0.28,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,-1.11,-2.46,-4.9,9.34,-3.78,-3.81,-7.8,-1.19,-6.04,-0.48,-2.09,0.32,-17.43,-7.64,-11.98,,,,,,,,,,,,,,,,,,,,,,,,,,-4.07
March-2016,14.54,14.54,,,,,,,,,,,,,,,,,,,,,,,,,,7.15,17.75,4.77,10.78,23.25,23.89,26.31,26.89,9.35,-1.4,16.62,16.9,24.5,8.05,22.66,,,,,,,,,,,,,,,,,,,,,,,,,,15.83
April-2016,-6.35,-6.35,,,,,,,,,,,,,,,,,,,,,,,,,,-1.94,-1.43,10.6,3.68,2.61,-5.21,-3.82,15.41,3.26,10.09,-2.0,-1.4,0.02,5.08,-2.75,,,,,,,,,,,,,,,,,,,,,,,,,,2.15
May-2016,-0.58,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,6.82,5.24,-3.34,3.56,13.44,-19.16,4.39,5.41,-0.53,2.12,10.88,3.63,4.35,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,3.03
June-2016,5.24,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,-8.21,2.64,6.28,4.12,10.19,1.28,7.32,21.7,2.57,7.87,5.65,5.46,-2.04,2.2,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,4.92
July-2016,13.35,13.35,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,0.8,-1.46,-1.12,10.76,10.38,12.22,24.89,0.59,2.66,8.61,29.64,9.43,-0.16,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,8.44
August-2016,11.26,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,-11.22,10.64,-4.28,-8.34,6.15,-3.15,13.26,3.31,10.32,-1.97,8.73,6.4,-1.96,5.89,10.26,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
September-2016,2.87,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,-3.75,-6.67,-5.36,-0.51,-6.07,-2.26,1.18,-4.99,-2.23,-4.25,-90.41,-2.1,-3.46,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,-8.51
October-2016,8.27,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,-4.71,-1.75,7.7,1.42,-0.59,-3.7,18.89,17.67,0.05,-6.25,2.94,2.27,9.79,5.35,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,3.46
November-2016,11.76,11.76,,,,,,,,,,,,,,,,,,,,,,,,,,7.91,-5.53,-3.03,1.88,-7.95,-6.28,-9.01,13.48,-5.28,-10.02,-9.5,-14.92,-4.33,-7.83,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,-4.01
December-2016,-9.5,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,-8.43,-3.92,-2.22,-5.9,-5.42,2.35,-3.47,-5.85,-1.86,-0.13,-9.69,-8.72,-3.66,-4.91,-3.35,,,,,,,,,,,,,,,,,,,,,,,,,,-4.35
January-2017,16.83,16.83,,,,,,,,,,,,,,4.42,-3.11,13.93,5.13,5.44,9.44,17.04,4.64,,13.8,5.39,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29
February-2017,3.22,3.22,,,,,,,,,,,,,,-1.39,7.07,4.96,3.94,-2.5,2.85,2.35,5.45,,2.13,2.73,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
March-2017,-6.23,-6.23,,,,,,,,,,,,,,2.83,6.81,-4.16,5.78,5.52,12.61,6.02,-1.7,,5.77,0.25,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
April-2017,-6.92,-6.92,,,,,,,,,,,,,,2.69,0.32,1.33,13.18,0.66,-3.8,-11.32,3.88,15.45,6.25,0.51,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
May-2017,-10.69,-10.69,,,,,,,,,,,,,,13.05,-0.68,4.85,-6.55,1.63,3.69,-1.89,6.13,0.88,-0.99,17.16,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08
June-2017,9.48,9.48,,,,,,,,,,,,,,-1.23,0.99,1.98,-5.87,-0.0,6.93,4.21,-4.85,9.64,-5.57,-11.09,-5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.84
July-2017,7.25,7.25,,,,,,,,,,,,,,-1.15,0.4,10.19,10.0,3.14,9.35,12.29,4.03,12.68,2.44,4.08,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81
August-2017,4.68,4.68,,,,,,,,,,,,,,9.41,5.2,2.41,-5.6,-8.33,-0.98,10.19,-4.08,13.26,-1.51,-1.42,-11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61
September-2017,0.24,0.24,,,,,,,,,,,,,,-5.43,1.71,-9.16,5.54,-6.88,-4.14,1.88,-6.77,3.66,-3.64,-6.95,-8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.22
October-2017,6.64,6.64,,,,,,,,,,,,,,1.95,-0.02,28.05,2.18,2.45,14.38,5.72,7.28,5.62,14.24,8.3,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22
November-2017,-5.01,-5.01,,,,,,,,,,,,,,-5.51,5.94,-0.16,-9.24,-3.29,-7.31,-10.88,4.87,-1.89,-4.32,2.62,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.03
December-2017,3.12,3.12,,,,,,,,,,,,,,3.95,2.55,6.55,4.74,-1.1,1.45,11.48,-46.75,5.67,2.61,2.01,-3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.86
January-2018,0.34,0.34,-2.5,-16.95,-2.23,-4.58,-3.78,2.96,-5.17,0.47,-0.03,1.37,-8.16,-4.51,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.36
February-2018,5.13,5.13,-2.47,-2.8,-6.74,-3.11,-3.38,-2.96,-12.72,-9.58,14.22,-5.16,5.11,-2.11,-11.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3
March-2018,-7.67,-7.67,-1.53,-6.66,-0.11,-2.98,-2.96,-15.53,-0.33,-8.94,-1.52,-4.96,2.41,7.77,-11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.58
April-2018,8.69,8.69,5.31,2.67,-0.46,4.1,6.98,7.26,-9.3,7.24,12.52,4.11,5.87,7.7,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32
May-2018,-9.46,-9.46,-4.99,-8.73,-3.26,-0.05,-5.8,-16.48,4.07,-6.64,4.85,-9.13,10.32,10.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.91
June-2018,-6.89,-6.89,-2.12,1.93,3.35,-7.6,-4.31,-5.44,-8.02,2.14,-5.33,1.8,-3.8,8.96,-3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.69
July-2018,1.61,1.61,-5.13,2.55,7.77,9.69,6.92,-5.73,4.78,-3.93,11.51,10.2,20.06,17.48,10.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65
August-2018,6.76,6.76,-1.24,-1.88,-4.3,11.11,17.63,2.23,-6.96,1.69,-2.85,6.69,-3.31,5.95,12.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88
September-2018,-2.92,-2.92,-9.87,-11.76,-19.2,-11.2,-9.9,2.0,3.18,-2.16,-13.13,-9.27,-11.34,-24.19,-10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.83
October-2018,-9.02,-9.02,-5.69,-13.63,-10.09,-17.46,0.18,-8.85,-26.49,-3.56,-4.03,-13.73,-9.79,9.56,16.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.7
November-2018,0.79,0.79,10.6,7.33,15.97,18.57,-4.78,-7.31,17.58,5.61,11.18,14.12,11.19,6.47,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19
December-2018,4.32,4.32,1.55,-0.21,-2.64,4.47,3.8,3.35,12.31,-0.67,8.02,0.25,7.89,4.46,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
