Month,TATA STEEL LTD.HQ,PIDILITE INDUSTRIES LTD.HQ,SBI LIFE INSURANCE COMPANY LTDHQ,VEDANTA LIMITEDHQ,JSW STEEL LTD.HQ,GODREJ CONSUMER PRODUCTS LTD.HQ,TECH MAHINDRA LTD.HQ,BHARAT PETROLEUM CORPORATION LTD.HQ,BAJAJ AUTO LTD.HQ,HDFC LIFE INSURANCE COMPANY LTDHQ,MAHINDRA & MAHINDRA LTD.HQ,AVENUE SUPERMARTS LTDHQ,INDUSIND BANK LTD.HQ,ULTRATECH CEMENT LTD.HQ,BAJAJ FINSERV LTD.HQ,INDIAN OIL CORPORATION LTD.HQ,ASIAN PAINTS LTD.HQ,BAJAJ FINANCE LIMITEDHQ,AXIS BANK LTD.HQ,LARSEN & TOUBRO LTD.HQ,ICICI BANK LTD.HQ,KOTAK MAHINDRA BANK LTD.HQ,STATE BANK OF INDIAHQ,HOUSING DEVELOPMENT FINANCE CORP.LTD.HQ,HINDUSTAN UNILEVER LTD.HQ,HDFC BANK LTDHQ,TATA CONSULTANCY SERVICES LTD.HQ,RELIANCE INDUSTRIES LTD.HQ,meanHQ,HINDUSTAN ZINC LTD.18ER,GAIL (INDIA) LTD.18ER,BHARTI AIRTEL LTD.18ER,BOSCH LTD.18ER,BRITANNIA INDUSTRIES LTD.18ER,WIPRO LTD.18ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.18ER,SUN PHARMACEUTICAL INDUSTRIES LTD.18ER,HINDUSTAN ZINC LTD.17ER,GAIL (INDIA) LTD.17ER,BOSCH LTD.17ER,BRITANNIA INDUSTRIES LTD.17ER,WIPRO LTD.17ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.17ER,SUN PHARMACEUTICAL INDUSTRIES LTD.17ER,HINDUSTAN ZINC LTD.16ER,GAIL (INDIA) LTD.16ER,BOSCH LTD.16ER,BRITANNIA INDUSTRIES LTD.16ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16ER,SUN PHARMACEUTICAL INDUSTRIES LTD.16ER,HINDUSTAN ZINC LTD.15ER,DABUR INDIA LTD.15ER,BOSCH LTD.15ER,BRITANNIA INDUSTRIES LTD.15ER,WIPRO LTD.15ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.15ER,HINDUSTAN ZINC LTD.14ER,DABUR INDIA LTD.14ER,HCL TECHNOLOGIES LTD.14ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.14ER,SUN PHARMACEUTICAL INDUSTRIES LTD.14ER,meanER
February-2014,-3.4,2.12,,-5.78,-4.73,5.08,4.45,3.86,2.1,,9.32,,3.56,7.77,5.78,1.14,0.15,2.86,13.07,12.47,5.58,4.0,0.4,1.28,-3.78,6.14,1.64,-3.8,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.85,0.55,7.6,14.12,9.27,4.34
March-2014,14.47,6.63,,5.83,18.48,7.91,-4.07,21.89,6.98,,0.74,,26.1,18.97,9.8,12.45,15.55,14.11,15.37,14.83,19.33,13.88,25.24,8.0,9.99,12.19,-6.36,16.3,12.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98,3.82,-11.77,12.11,-10.79,0.67
April-2014,1.71,4.14,,-1.52,4.56,-6.33,2.11,-1.37,-7.93,,9.33,,-4.43,-7.36,4.75,-5.86,-7.57,4.71,4.02,1.8,-0.05,3.25,8.37,1.56,-6.09,-4.09,2.87,0.62,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,-0.11,0.95,0.43,10.15,2.33
May-2014,18.57,-4.81,,51.0,11.95,-2.5,4.52,14.88,2.07,,14.77,,11.45,17.6,3.04,37.39,0.85,7.82,20.86,19.56,13.95,8.0,22.27,-2.33,6.01,10.56,-2.06,13.88,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.15,4.54,0.98,19.94,-3.82,8.76
June-2014,11.22,7.68,,4.51,2.11,5.97,12.38,14.92,18.43,,-6.71,,6.99,9.0,9.68,-4.35,16.34,-0.98,4.64,9.86,0.0,2.03,5.67,13.01,3.09,3.43,12.84,-4.74,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11,-0.13,5.59,7.81,12.98,6.47
July-2014,4.75,14.06,,-0.6,-4.67,2.09,-0.1,-3.1,-10.16,,4.88,,-1.89,-6.83,0.84,-3.98,6.15,10.22,-79.61,-11.61,3.85,7.74,-9.16,7.74,10.65,1.5,6.52,-0.86,-2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.12,10.39,3.9,7.06,15.22,6.69
August-2014,-7.2,10.23,,-4.55,5.61,17.16,9.85,19.56,8.74,,16.86,,4.17,5.16,11.32,8.28,-0.79,11.94,1.39,1.52,5.67,8.64,0.85,0.61,8.13,1.12,-2.04,-0.67,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,12.43,4.85,8.5,8.08,7.25
September-2014,-10.56,-3.07,,-1.66,-7.08,-0.08,5.32,-5.88,3.95,,-3.17,,6.07,3.07,7.56,0.74,0.84,9.81,-4.91,-4.55,-7.79,-2.18,-0.74,-1.98,0.62,3.39,8.46,-5.39,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.75,-4.39,5.21,-1.73,0.32,-0.67
October-2014,6.54,4.2,,-6.16,8.97,-1.77,0.97,10.82,11.07,,-4.32,,16.1,-2.81,-5.53,0.61,4.25,3.23,16.13,13.54,13.25,10.42,10.62,5.07,-1.01,4.67,-4.88,5.7,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,1.67,-6.42,2.37,-1.37,0.61
November-2014,-3.28,11.01,,-9.56,-4.66,-1.6,5.18,2.99,1.17,,1.56,,4.55,-2.4,7.8,0.27,13.34,10.2,9.64,-0.89,7.95,7.43,-88.1,4.9,6.53,4.96,1.48,-0.84,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.89,6.73,3.54,2.02,-0.71,1.34
